#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-01-16T14:18:17 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ54b91d610d33	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/552/A16&tab:{J/A+A/552/A16/limb1-4}&key:source=J/A+A/552/A16/limb1-4&HTTPPRM:&
#-source=J/A+A/552/A16/limb1-4
#-order=I
#-out=logg
#-out=Teff
#-out=Z
#-out=xi
#-out=Filt
#Filt=Kp
#-out=Met
#Met=L
#-out=Mod
#Mod=qs
#-out=u
#-out=Merit
#Merit=Merit
#-out=a
#-out=b
#-out=c
#-out=d
#-out=e
#-out=f
#

#RESOURCE=yCat_35520016
#Name: J/A+A/552/A16
#Title: Limb-darkening for CoRoT, Kepler, Spitzer. II. (Claret+, 2013)
#Table	J_A_A_552_A16_limb1-4:
#Name: J/A+A/552/A16/limb1-4
#Title: 1- and 2-parameter limb-darkening coefficients for quasi-spherical PHOENIX models: quadratic {\em(a,b)}, root-square {\em(c,d)} and logarithmic {\em(e,f)}, (equations 2, 3 and 4)
#Column	logg	(F5.2)	[2.5/5.5] Surface gravity	[ucd=phys.gravity]
#Column	Teff	(F6)	[5000/10000] Effective temperature	[ucd=phys.temperature.effective]
#Column	Z	(F4.1)	[0] Metallicity (log[M/H])	[ucd=phys.abund.Z]
#Column	xi	(F4.1)	[2] Microturbulent velocity {xi}	[ucd=phys.veloc]
#Column	Filt	(A2)	Filter (G1)	[ucd=meta.id;instr.filter]
#Column	Met	(A1)	[LF] Method (Least-Square or Flux Conservation)	[ucd=meta.id;stat.fit]
#Column	Mod	(A2)	[qs] quasi-spherical PHOENIX model	[ucd=stat.param;meta.modelled]
#Column	u	(F8.4)	Linear limb darkening coefficient u (G2)	[ucd=pos.distance]
#Column	Merit	(a5)	Corresponding figure of merit	[ucd=meta.ref.url]
#Column	a	(F8.4)	Quadratic limb darkening coefficient a (G2)	[ucd=phot.limbDark]
#Column	b	(F8.4)	Quadratic limb darkening coefficient b (G2)	[ucd=phot.limbDark]
#Column	c	(F8.4)	Root-square limb darkening coefficient c (G2)	[ucd=phot.limbDark]
#Column	d	(F8.4)	Root-square limb darkening coefficient d (G2)	[ucd=phot.limbDark]
#Column	e	(F8.4)	Logarithmic limb darkening coefficient e (G2)	[ucd=phot.limbDark]
#Column	f	(F8.4)	Logarithmic limb darkening coefficient f (G2)	[ucd=phot.limbDark]
#logg	Teff	Z	xi	Filt	Met	Mod	u	Merit	a	b	c	d	e	f
#[cm/s2]	K	[Sun]	km/s	 	 	 	 	 	 	 	 	 	 	
#-----	------	----	----	--	-	--	--------	-----	--------	--------	--------	--------	--------	--------
 5.50	  7800	 0.0	 2.0	Kp	L	qs	  0.4795	Merit	  0.2622	  0.3233	 -0.1251	  0.9308	  0.6588	  0.3442
 3.00	  8000	 0.0	 2.0	Kp	L	qs	  0.6076	Merit	 -0.0634	  0.9895	 -1.4884	  3.2137	  1.1914	  1.1357
 3.50	  8000	 0.0	 2.0	Kp	L	qs	  0.5263	Merit	  0.1660	  0.5327	 -0.5406	  1.6380	  0.8309	  0.5901
 4.00	  8000	 0.0	 2.0	Kp	L	qs	  0.4949	Merit	  0.2303	  0.3921	 -0.2448	  1.1369	  0.7122	  0.4195
 4.50	  8000	 0.0	 2.0	Kp	L	qs	  0.4872	Merit	  0.2475	  0.3559	 -0.1791	  1.0250	  0.6841	  0.3791
 5.00	  8000	 0.0	 2.0	Kp	L	qs	  0.4712	Merit	  0.2356	  0.3502	 -0.1864	  1.0121	  0.6657	  0.3738
 5.50	  8000	 0.0	 2.0	Kp	L	qs	  0.4672	Merit	  0.2404	  0.3373	 -0.1655	  0.9742	  0.6546	  0.3599
 3.00	  8200	 0.0	 2.0	Kp	L	qs	  0.6382	Merit	 -0.0134	  0.9607	 -1.4004	  3.1254	  1.2056	  1.1040
 3.50	  8200	 0.0	 2.0	Kp	L	qs	  0.5263	Merit	  0.1489	  0.5581	 -0.6101	  1.7444	  0.8485	  0.6244
 4.00	  8200	 0.0	 2.0	Kp	L	qs	  0.4835	Merit	  0.2103	  0.4049	 -0.2843	  1.1799	  0.7085	  0.4346
 4.50	  8200	 0.0	 2.0	Kp	L	qs	  0.4492	Merit	  0.2048	  0.3627	 -0.2384	  1.0575	  0.6513	  0.3893
 5.00	  8200	 0.0	 2.0	Kp	L	qs	  0.4573	Merit	  0.2121	  0.3644	 -0.2296	  1.0572	  0.6601	  0.3899
 5.50	  8200	 0.0	 2.0	Kp	L	qs	  0.4542	Merit	  0.2187	  0.3504	 -0.2052	  1.0152	  0.6492	  0.3746
 3.00	  8400	 0.0	 2.0	Kp	L	qs	  0.6430	Merit	 -0.0156	  0.9710	 -1.4271	  3.1737	  1.2183	  1.1195
 3.50	  8400	 0.0	 2.0	Kp	L	qs	  0.5340	Merit	  0.1518	  0.5650	 -0.6401	  1.8023	  0.8642	  0.6400
 4.00	  8400	 0.0	 2.0	Kp	L	qs	  0.4747	Merit	  0.1998	  0.4073	 -0.3018	  1.1932	  0.7017	  0.4386
 4.50	  8400	 0.0	 2.0	Kp	L	qs	  0.4395	Merit	  0.1891	  0.3716	 -0.2670	  1.0864	  0.6468	  0.3996
 5.00	  8400	 0.0	 2.0	Kp	L	qs	  0.4437	Merit	  0.1920	  0.3740	 -0.2641	  1.0891	  0.6522	  0.4012
 5.50	  8400	 0.0	 2.0	Kp	L	qs	  0.4407	Merit	  0.1977	  0.3614	 -0.2419	  1.0509	  0.6423	  0.3872
 3.00	  8600	 0.0	 2.0	Kp	L	qs	  0.6440	Merit	 -0.0344	  1.0001	 -1.4878	  3.2681	  1.2366	  1.1531
 3.50	  8600	 0.0	 2.0	Kp	L	qs	  0.5411	Merit	  0.1675	  0.5522	 -0.6277	  1.7941	  0.8675	  0.6326
 4.00	  8600	 0.0	 2.0	Kp	L	qs	  0.4735	Merit	  0.2113	  0.3884	 -0.2712	  1.1442	  0.6907	  0.4197
 4.50	  8600	 0.0	 2.0	Kp	L	qs	  0.4322	Merit	  0.1800	  0.3743	 -0.2813	  1.0971	  0.6413	  0.4031
 5.00	  8600	 0.0	 2.0	Kp	L	qs	  0.4304	Merit	  0.1746	  0.3800	 -0.2914	  1.1106	  0.6427	  0.4085
 5.50	  8600	 0.0	 2.0	Kp	L	qs	  0.4268	Merit	  0.1781	  0.3699	 -0.2742	  1.0793	  0.6336	  0.3972
 3.00	  8800	 0.0	 2.0	Kp	L	qs	  0.6397	Merit	 -0.0684	  1.0439	 -1.5826	  3.4068	  1.2578	  1.2029
 3.50	  8800	 0.0	 2.0	Kp	L	qs	  0.5403	Merit	  0.1577	  0.5655	 -0.6694	  1.8568	  0.8767	  0.6521
 4.00	  8800	 0.0	 2.0	Kp	L	qs	  0.4736	Merit	  0.2477	  0.3346	 -0.1724	  0.9925	  0.6615	  0.3630
 4.50	  8800	 0.0	 2.0	Kp	L	qs	  0.4308	Merit	  0.2013	  0.3405	 -0.2183	  0.9982	  0.6211	  0.3668
 5.00	  8800	 0.0	 2.0	Kp	L	qs	  0.4153	Merit	  0.1914	  0.3326	 -0.2167	  0.9724	  0.6011	  0.3576
 5.50	  8800	 0.0	 2.0	Kp	L	qs	  0.4079	Merit	  0.1922	  0.3208	 -0.2009	  0.9371	  0.5873	  0.3447
 3.00	  9000	 0.0	 2.0	Kp	L	qs	  0.6385	Merit	 -0.0989	  1.0869	 -1.6704	  3.5395	  1.2813	  1.2510
 3.50	  9000	 0.0	 2.0	Kp	L	qs	  0.5369	Merit	  0.1349	  0.5943	 -0.7406	  1.9609	  0.8915	  0.6875
 4.00	  9000	 0.0	 2.0	Kp	L	qs	  0.4727	Merit	  0.2509	  0.3285	 -0.1626	  0.9762	  0.6573	  0.3568
 4.50	  9000	 0.0	 2.0	Kp	L	qs	  0.4313	Merit	  0.2127	  0.3243	 -0.1892	  0.9540	  0.6128	  0.3501
 5.00	  9000	 0.0	 2.0	Kp	L	qs	  0.4050	Merit	  0.1850	  0.3269	 -0.2178	  0.9583	  0.5880	  0.3520
 5.50	  9000	 0.0	 2.0	Kp	L	qs	  0.3952	Merit	  0.1809	  0.3185	 -0.2110	  0.9331	  0.5736	  0.3429
 3.00	  9200	 0.0	 2.0	Kp	L	qs	  0.6401	Merit	 -0.1299	  1.1348	 -1.7631	  3.6838	  1.3099	  1.3039
 3.50	  9200	 0.0	 2.0	Kp	L	qs	  0.5329	Merit	  0.1051	  0.6322	 -0.8327	  2.0960	  0.9113	  0.7336
 4.00	  9200	 0.0	 2.0	Kp	L	qs	  0.4724	Merit	  0.2641	  0.3085	 -0.1293	  0.9244	  0.6466	  0.3368
 4.50	  9200	 0.0	 2.0	Kp	L	qs	  0.4422	Merit	  0.2408	  0.2988	 -0.1307	  0.8809	  0.6097	  0.3229
 5.00	  9200	 0.0	 2.0	Kp	L	qs	  0.4003	Merit	  0.1844	  0.3207	 -0.2120	  0.9421	  0.5800	  0.3458
 5.50	  9200	 0.0	 2.0	Kp	L	qs	  0.3859	Merit	  0.1723	  0.3176	 -0.2197	  0.9323	  0.5640	  0.3423
 3.00	  9400	 0.0	 2.0	Kp	L	qs	  0.6442	Merit	 -0.1612	  1.1870	 -1.8587	  3.8366	  1.3431	  1.3606
 3.50	  9400	 0.0	 2.0	Kp	L	qs	  0.5310	Merit	  0.0760	  0.6724	 -0.9265	  2.2371	  0.9343	  0.7821
 4.00	  9400	 0.0	 2.0	Kp	L	qs	  0.4682	Merit	  0.2579	  0.3114	 -0.1398	  0.9340	  0.6441	  0.3402
 4.50	  9400	 0.0	 2.0	Kp	L	qs	  0.4398	Merit	  0.2398	  0.2968	 -0.1290	  0.8746	  0.6061	  0.3207
 5.00	  9400	 0.0	 2.0	Kp	L	qs	  0.4022	Merit	  0.1947	  0.3082	 -0.1871	  0.9066	  0.5750	  0.3326
 5.50	  9400	 0.0	 2.0	Kp	L	qs	  0.3787	Merit	  0.1676	  0.3139	 -0.2209	  0.9229	  0.5549	  0.3386
 3.00	  9600	 0.0	 2.0	Kp	L	qs	  0.6514	Merit	 -0.1948	  1.2470	 -1.9627	  4.0067	  1.3830	  1.4246
 3.50	  9600	 0.0	 2.0	Kp	L	qs	  0.5308	Merit	  0.0467	  0.7154	 -1.0239	  2.3862	  0.9607	  0.8336
 4.00	  9600	 0.0	 2.0	Kp	L	qs	  0.4598	Merit	  0.2458	  0.3169	 -0.1608	  0.9535	  0.6392	  0.3468
 4.50	  9600	 0.0	 2.0	Kp	L	qs	  0.4412	Merit	  0.2565	  0.2740	 -0.0880	  0.8137	  0.5955	  0.2975
 5.00	  9600	 0.0	 2.0	Kp	L	qs	  0.4144	Merit	  0.2249	  0.2815	 -0.1253	  0.8304	  0.5725	  0.3044
 5.50	  9600	 0.0	 2.0	Kp	L	qs	  0.3753	Merit	  0.1676	  0.3088	 -0.2152	  0.9089	  0.5487	  0.3334
 3.00	  9800	 0.0	 2.0	Kp	L	qs	  0.6606	Merit	 -0.2278	  1.3089	 -2.0652	  4.1776	  1.4254	  1.4896
 3.50	  9800	 0.0	 2.0	Kp	L	qs	  0.5329	Merit	  0.0135	  0.7676	 -1.1386	  2.5653	  0.9948	  0.8957
 4.00	  9800	 0.0	 2.0	Kp	L	qs	  0.4537	Merit	  0.2356	  0.3229	 -0.1807	  0.9746	  0.6368	  0.3541
 4.50	  9800	 0.0	 2.0	Kp	L	qs	  0.4412	Merit	  0.2583	  0.2713	 -0.0825	  0.8052	  0.5939	  0.2944
 5.00	  9800	 0.0	 2.0	Kp	L	qs	  0.4171	Merit	  0.2321	  0.2748	 -0.1085	  0.8086	  0.5712	  0.2966
 5.50	  9800	 0.0	 2.0	Kp	L	qs	  0.3764	Merit	  0.1738	  0.3011	 -0.1999	  0.8870	  0.5455	  0.3252
 3.00	 10000	 0.0	 2.0	Kp	L	qs	  0.6714	Merit	 -0.2610	  1.3737	 -2.1666	  4.3494	  1.4703	  1.5562
 3.50	 10000	 0.0	 2.0	Kp	L	qs	  0.5363	Merit	 -0.0204	  0.8227	 -1.2563	  2.7512	  1.0316	  0.9606
 4.00	 10000	 0.0	 2.0	Kp	L	qs	  0.4481	Merit	  0.2247	  0.3309	 -0.2043	  1.0023	  0.6362	  0.3636
 4.50	 10000	 0.0	 2.0	Kp	L	qs	  0.4328	Merit	  0.2481	  0.2739	 -0.0969	  0.8144	  0.5871	  0.2976
 5.00	 10000	 0.0	 2.0	Kp	L	qs	  0.4200	Merit	  0.2412	  0.2656	 -0.0888	  0.7828	  0.5691	  0.2870
 5.50	 10000	 0.0	 2.0	Kp	L	qs	  0.3836	Merit	  0.1919	  0.2849	 -0.1624	  0.8403	  0.5438	  0.3080

