#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-01-16T15:24:24 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ54b92cfa4779	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/546/A14&tab:{J/A+A/546/A14/limb1-4}&key:source=J/A+A/546/A14/limb1-4&HTTPPRM:&
#-source=J/A+A/546/A14/limb1-4
#-order=I
#-out=logg
#-out=Teff
#-out=Z
#-out=xi
#-out=Filt
#Filt=Kp
#-out=Met
#Met=L
#-out=Mod
#Mod=qs
#-out=u
#-out=Merit
#Merit=Merit
#-out=a
#-out=b
#-out=c
#-out=d
#-out=e
#-out=f
#

#RESOURCE=yCat_35460014
#Name: J/A+A/546/A14
#Title: Limb-darkening for CoRoT, Kepler, Spitzer (Claret+, 2012)
#Table	J_A_A_546_A14_limb1-4:
#Name: J/A+A/546/A14/limb1-4
#Title: 1- and 2-parameter limb-darkening coefficients for quasi-spherical PHOENIX models: quadratic {\em(a,b)}, root-square {\em(c,d)} and logarithmic {\em(e,f)}, (equations 2, 3 and 4)
#Column	logg	(F5.2)	[2.5/5.5] Surface gravity	[ucd=phys.gravity]
#Column	Teff	(F6)	[1500/4800] Effective temperature	[ucd=phys.temperature.effective]
#Column	Z	(F4.1)	[0] Metallicity (log[M/H])	[ucd=phys.abund.Z]
#Column	xi	(F4.1)	[2] Microturbulent velocity {xi}	[ucd=phys.veloc]
#Column	Filt	(A2)	Filter (G1)	[ucd=meta.id;instr.filter]
#Column	Met	(A1)	[LF] Method (Least-Square or Flux Conservation)	[ucd=meta.id;stat.fit]
#Column	Mod	(A2)	[qs] quasi-spherical PHOENIX model	[ucd=stat.param;meta.modelled]
#Column	u	(F8.4)	Linear limb darkening coefficient u (G2)	[ucd=pos.distance]
#Column	Merit	(a5)	Corresponding figure of merit	[ucd=meta.ref.url]
#Column	a	(F8.4)	Quadratic limb darkening coefficient a (G2)	[ucd=phot.limbDark]
#Column	b	(F8.4)	Quadratic limb darkening coefficient b (G2)	[ucd=phot.limbDark]
#Column	c	(F8.4)	Root-square limb darkening coefficient c (G2)	[ucd=phot.limbDark]
#Column	d	(F8.4)	Root-square limb darkening coefficient d (G2)	[ucd=phot.limbDark]
#Column	e	(F8.4)	Logarithmic limb darkening coefficient e (G2)	[ucd=phot.limbDark]
#Column	f	(F8.4)	Logarithmic limb darkening coefficient f (G2)	[ucd=phot.limbDark]
logg	Teff	Z	xi	Filt	Met	Mod	u	Merit	a	b	c	d	e	f
 5.50	  3700	 0.0	 2.0	Kp	L	qs	  0.5271	Merit	  0.2915	  0.3507	 -0.1492	  1.0416	  0.7255	  0.3806
 2.50	  3800	 0.0	 2.0	Kp	L	qs	  0.8999	Merit	  0.7283	  0.2542	  0.2799	  0.9525	  1.0653	  0.3198
 3.00	  3800	 0.0	 2.0	Kp	L	qs	  0.8394	Merit	  0.8335	  0.0088	  0.7684	  0.1091	  0.8538	  0.0279
 3.50	  3800	 0.0	 2.0	Kp	L	qs	  0.7796	Merit	  0.7526	  0.0402	  0.6825	  0.1493	  0.8058	  0.0504
 4.00	  3800	 0.0	 2.0	Kp	L	qs	  0.6977	Merit	  0.5801	  0.1747	  0.3552	  0.5270	  0.7972	  0.1914
 4.50	  3800	 0.0	 2.0	Kp	L	qs	  0.6176	Merit	  0.4304	  0.2783	  0.0815	  0.8253	  0.7746	  0.3018
 5.00	  3800	 0.0	 2.0	Kp	L	qs	  0.5558	Merit	  0.3364	  0.3263	 -0.0725	  0.9674	  0.7400	  0.3538
 5.50	  3800	 0.0	 2.0	Kp	L	qs	  0.5161	Merit	  0.2859	  0.3426	 -0.1451	  1.0182	  0.7099	  0.3720
 2.50	  3900	 0.0	 2.0	Kp	L	qs	  0.8926	Merit	  0.6823	  0.3114	  0.1614	  1.1232	  1.0902	  0.3822
 3.00	  3900	 0.0	 2.0	Kp	L	qs	  0.8344	Merit	  0.7986	  0.0531	  0.6750	  0.2451	  0.8742	  0.0768
 3.50	  3900	 0.0	 2.0	Kp	L	qs	  0.7938	Merit	  0.7921	  0.0024	  0.7712	  0.0348	  0.7984	  0.0088
 4.00	  3900	 0.0	 2.0	Kp	L	qs	  0.7066	Merit	  0.6207	  0.1275	  0.4526	  0.3909	  0.7799	  0.1411
 4.50	  3900	 0.0	 2.0	Kp	L	qs	  0.6217	Merit	  0.4586	  0.2425	  0.1528	  0.7219	  0.7589	  0.2636
 5.00	  3900	 0.0	 2.0	Kp	L	qs	  0.5566	Merit	  0.3486	  0.3095	 -0.0401	  0.9189	  0.7315	  0.3358
 5.50	  3900	 0.0	 2.0	Kp	L	qs	  0.5105	Merit	  0.2869	  0.3328	 -0.1322	  0.9898	  0.6989	  0.3615
 3.00	  4000	 0.0	 2.0	Kp	L	qs	  0.8220	Merit	  0.7594	  0.0928	  0.5819	  0.3691	  0.8848	  0.1211
 3.50	  4000	 0.0	 2.0	Kp	L	qs	  0.7975	Merit	  0.7956	  0.0027	  0.7723	  0.0387	  0.8026	  0.0098
 4.00	  4000	 0.0	 2.0	Kp	L	qs	  0.7307	Merit	  0.6723	  0.0868	  0.5539	  0.2720	  0.7814	  0.0974
 4.50	  4000	 0.0	 2.0	Kp	L	qs	  0.6442	Merit	  0.5068	  0.2043	  0.2469	  0.6116	  0.7602	  0.2228
 5.00	  4000	 0.0	 2.0	Kp	L	qs	  0.5625	Merit	  0.3715	  0.2843	  0.0130	  0.8462	  0.7235	  0.3090
 5.50	  4000	 0.0	 2.0	Kp	L	qs	  0.5097	Merit	  0.2968	  0.3168	 -0.1024	  0.9426	  0.6890	  0.3442
 2.50	  4100	 0.0	 2.0	Kp	L	qs	  0.8722	Merit	  0.5962	  0.4086	 -0.0543	  1.4232	  1.1258	  0.4904
 3.00	  4100	 0.0	 2.0	Kp	L	qs	  0.8145	Merit	  0.7230	  0.1358	  0.4866	  0.5042	  0.9023	  0.1694
 3.50	  4100	 0.0	 2.0	Kp	L	qs	  0.7890	Merit	  0.7743	  0.0219	  0.7261	  0.0967	  0.8050	  0.0308
 4.00	  4100	 0.0	 2.0	Kp	L	qs	  0.7499	Merit	  0.7125	  0.0556	  0.6332	  0.1795	  0.7829	  0.0636
 4.50	  4100	 0.0	 2.0	Kp	L	qs	  0.6754	Merit	  0.5690	  0.1583	  0.3659	  0.4765	  0.7656	  0.1732
 5.00	  4100	 0.0	 2.0	Kp	L	qs	  0.5858	Merit	  0.4189	  0.2483	  0.1052	  0.7399	  0.7264	  0.2701
 5.50	  4100	 0.0	 2.0	Kp	L	qs	  0.5202	Merit	  0.3191	  0.2993	 -0.0584	  0.8911	  0.6897	  0.3254
 2.50	  4200	 0.0	 2.0	Kp	L	qs	  0.8634	Merit	  0.5665	  0.4396	 -0.1272	  1.5217	  1.1352	  0.5255
 3.00	  4200	 0.0	 2.0	Kp	L	qs	  0.8031	Merit	  0.6927	  0.1637	  0.4164	  0.5945	  0.9074	  0.2012
 3.50	  4200	 0.0	 2.0	Kp	L	qs	  0.7769	Merit	  0.7504	  0.0393	  0.6814	  0.1469	  0.8025	  0.0494
 4.00	  4200	 0.0	 2.0	Kp	L	qs	  0.7638	Merit	  0.7428	  0.0311	  0.6951	  0.1058	  0.7829	  0.0367
 4.50	  4200	 0.0	 2.0	Kp	L	qs	  0.6966	Merit	  0.6217	  0.1114	  0.4770	  0.3379	  0.7603	  0.1225
 5.00	  4200	 0.0	 2.0	Kp	L	qs	  0.6129	Merit	  0.4742	  0.2064	  0.2124	  0.6167	  0.7301	  0.2249
 5.50	  4200	 0.0	 2.0	Kp	L	qs	  0.5327	Merit	  0.3522	  0.2685	  0.0140	  0.7988	  0.6847	  0.2918
 2.50	  4300	 0.0	 2.0	Kp	L	qs	  0.8564	Merit	  0.5410	  0.4669	 -0.1901	  1.6077	  1.1441	  0.5563
 3.00	  4300	 0.0	 2.0	Kp	L	qs	  0.7940	Merit	  0.6696	  0.1844	  0.3638	  0.6613	  0.9105	  0.2248
 3.50	  4300	 0.0	 2.0	Kp	L	qs	  0.7655	Merit	  0.7290	  0.0541	  0.6429	  0.1885	  0.7992	  0.0649
 4.00	  4300	 0.0	 2.0	Kp	L	qs	  0.7575	Merit	  0.7400	  0.0259	  0.6975	  0.0923	  0.7738	  0.0315
 4.50	  4300	 0.0	 2.0	Kp	L	qs	  0.7201	Merit	  0.6670	  0.0790	  0.5642	  0.2401	  0.7654	  0.0869
 5.00	  4300	 0.0	 2.0	Kp	L	qs	  0.6493	Merit	  0.5366	  0.1676	  0.3236	  0.5015	  0.7444	  0.1827
 5.50	  4300	 0.0	 2.0	Kp	L	qs	  0.5675	Merit	  0.4023	  0.2458	  0.0918	  0.7326	  0.7068	  0.2674
 2.50	  4400	 0.0	 2.0	Kp	L	qs	  0.8502	Merit	  0.5186	  0.4909	 -0.2447	  1.6819	  1.1517	  0.5830
 3.00	  4400	 0.0	 2.0	Kp	L	qs	  0.7863	Merit	  0.6494	  0.2031	  0.3175	  0.7208	  0.9138	  0.2459
 3.50	  4400	 0.0	 2.0	Kp	L	qs	  0.7570	Merit	  0.7123	  0.0664	  0.6122	  0.2227	  0.7974	  0.0778
 4.00	  4400	 0.0	 2.0	Kp	L	qs	  0.7481	Merit	  0.7246	  0.0350	  0.6705	  0.1195	  0.7697	  0.0414
 4.50	  4400	 0.0	 2.0	Kp	L	qs	  0.7381	Merit	  0.7027	  0.0526	  0.6355	  0.1580	  0.7680	  0.0574
 5.00	  4400	 0.0	 2.0	Kp	L	qs	  0.6779	Merit	  0.5924	  0.1272	  0.4314	  0.3795	  0.7500	  0.1384
 5.50	  4400	 0.0	 2.0	Kp	L	qs	  0.5966	Merit	  0.4580	  0.2062	  0.1973	  0.6149	  0.7135	  0.2244
 2.50	  4500	 0.0	 2.0	Kp	L	qs	  0.8442	Merit	  0.4976	  0.5131	 -0.2952	  1.7502	  1.1585	  0.6077
 3.00	  4500	 0.0	 2.0	Kp	L	qs	  0.7795	Merit	  0.6265	  0.2268	  0.2630	  0.7939	  0.9206	  0.2722
 3.50	  4500	 0.0	 2.0	Kp	L	qs	  0.7488	Merit	  0.6957	  0.0787	  0.5814	  0.2574	  0.7958	  0.0907
 4.00	  4500	 0.0	 2.0	Kp	L	qs	  0.7398	Merit	  0.7071	  0.0486	  0.6372	  0.1579	  0.7688	  0.0557
 4.50	  4500	 0.0	 2.0	Kp	L	qs	  0.7321	Merit	  0.7010	  0.0462	  0.6410	  0.1403	  0.7585	  0.0508
 5.00	  4500	 0.0	 2.0	Kp	L	qs	  0.7047	Merit	  0.6372	  0.1005	  0.5125	  0.2960	  0.7612	  0.1085
 5.50	  4500	 0.0	 2.0	Kp	L	qs	  0.6320	Merit	  0.5147	  0.1745	  0.2944	  0.5198	  0.7308	  0.1898
 2.50	  4800	 0.0	 2.0	Kp	L	qs	  0.8284	Merit	  0.4278	  0.5931	 -0.4703	  1.9948	  1.1883	  0.6963
 3.00	  4800	 0.0	 2.0	Kp	L	qs	  0.7603	Merit	  0.5591	  0.2983	  0.0913	  1.0284	  0.9440	  0.3546
 3.50	  4800	 0.0	 2.0	Kp	L	qs	  0.7244	Merit	  0.6462	  0.1161	  0.4865	  0.3659	  0.7923	  0.1307
 4.00	  4800	 0.0	 2.0	Kp	L	qs	  0.7148	Merit	  0.6583	  0.0839	  0.5463	  0.2593	  0.7633	  0.0933
 4.50	  4800	 0.0	 2.0	Kp	L	qs	  0.7076	Merit	  0.6557	  0.0772	  0.5590	  0.2287	  0.7511	  0.0835
 5.00	  4800	 0.0	 2.0	Kp	L	qs	  0.7062	Merit	  0.6593	  0.0698	  0.5741	  0.2033	  0.7451	  0.0748
 5.50	  4800	 0.0	 2.0	Kp	L	qs	  0.6881	Merit	  0.6164	  0.1068	  0.4897	  0.3056	  0.7471	  0.1132

